DUNGEON #,DUNGEON NAME,Difficulty,CHARACTER,Date,Duration,DEATHS,Kills,Result,Run Type,Instance ID,Dungeon Report Link,PRE_FLAWLESS
,Shattered Throne,Normal,Hunter,"Nov 23, 2021",6:03,1,35,Solo,Unknown,9643413753,https://dungeon.report/pgcr/9643413753,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 23, 2021",1:35:26,8,465,DNF,—,9643330770,https://dungeon.report/pgcr/9643330770,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 22, 2021",34:51:00,1,178,DNF,—,9639447508,https://dungeon.report/pgcr/9639447508,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 22, 2021",32:39:00,1,164,DNF,—,9639359465,https://dungeon.report/pgcr/9639359465,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 22, 2021",2:47,1,0,DNF,—,9639279468,https://dungeon.report/pgcr/9639279468,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 22, 2021",38:01:00,1,154,DNF,—,9639263612,https://dungeon.report/pgcr/9639263612,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 22, 2021",2:27,1,0,DNF,—,9639158084,https://dungeon.report/pgcr/9639158084,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 20, 2021",6:40,0,16,Solo Flawless,Unknown,9631615475,https://dungeon.report/pgcr/9631615475,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 19, 2021",13:49,3,56,DNF,—,9627116699,https://dungeon.report/pgcr/9627116699,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 19, 2021",9:16,2,39,DNF,—,9627082278,https://dungeon.report/pgcr/9627082278,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 19, 2021",1:41:28,12,461,DNF,—,9627058077,https://dungeon.report/pgcr/9627058077,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 19, 2021",22:09,1,20,DNF,—,9626777490,https://dungeon.report/pgcr/9626777490,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 19, 2021",53:12:00,2,207,DNF,—,9626704555,https://dungeon.report/pgcr/9626704555,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 17, 2021",1:10:51,0,619,Solo Flawless,Unknown,9619723930,https://dungeon.report/pgcr/9619723930,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 17, 2021",24:05:00,2,58,DNF,—,9619601650,https://dungeon.report/pgcr/9619601650,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 17, 2021",1:03:30,1,250,DNF,—,9619554921,https://dungeon.report/pgcr/9619554921,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 17, 2021",7:48,0,21,DNF,—,9619412135,https://dungeon.report/pgcr/9619412135,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 17, 2021",57:30:00,1,246,DNF,—,9619393311,https://dungeon.report/pgcr/9619393311,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 16, 2021",7:08,0,17,Solo Flawless,Unknown,9616384434,https://dungeon.report/pgcr/9616384434,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 16, 2021",40:18:00,3,719,DNF,—,9616369736,https://dungeon.report/pgcr/9616369736,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 16, 2021",53:41:00,3,236,DNF,—,9616300720,https://dungeon.report/pgcr/9616300720,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 16, 2021",26:36:00,1,160,DNF,—,9616195210,https://dungeon.report/pgcr/9616195210,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 16, 2021",58:24:00,1,234,DNF,—,9616132674,https://dungeon.report/pgcr/9616132674,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 15, 2021",1:20:37,1,465,Solo,Unknown,9613111136,https://dungeon.report/pgcr/9613111136,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 14, 2021",39:38:00,1,919,Solo,Unknown,9609634433,https://dungeon.report/pgcr/9609634433,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 14, 2021",11:54,2,25,DNF,—,9609537336,https://dungeon.report/pgcr/9609537336,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 14, 2021",22:40,3,25,DNF,—,9608963138,https://dungeon.report/pgcr/9608963138,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 14, 2021",31:32:00,2,78,DNF,—,9608862722,https://dungeon.report/pgcr/9608862722,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 14, 2021",13:35,0,0,DNF,—,9608715532,https://dungeon.report/pgcr/9608715532,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 14, 2021",23:57,1,203,DNF,—,9608665405,https://dungeon.report/pgcr/9608665405,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 14, 2021",19:33,1,115,DNF,—,9608572982,https://dungeon.report/pgcr/9608572982,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 14, 2021",7:36,0,17,Solo Flawless,Unknown,9604879286,https://dungeon.report/pgcr/9604879286,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 14, 2021",8:10,1,16,DNF,—,9604850682,https://dungeon.report/pgcr/9604850682,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 14, 2021",17:15,5,179,DNF,—,9604828850,https://dungeon.report/pgcr/9604828850,Pre-Flawless
,Shattered Throne,Normal,Titan,"Nov 12, 2021",3:16,1,23,DNF,—,9598830946,https://dungeon.report/pgcr/9598830946,Pre-Flawless
,Shattered Throne,Normal,Warlock,"Nov 8, 2021",13:54,1,359,DNF,—,9581991259,https://dungeon.report/pgcr/9581991259,Pre-Flawless
,Shattered Throne,Normal,Warlock,"Nov 4, 2021",25:53:00,5,1114,DNF,—,9563138232,https://dungeon.report/pgcr/9563138232,Pre-Flawless
,Shattered Throne,Normal,Warlock,"Nov 3, 2021",57:58:00,7,1630,DNF,—,9559657597,https://dungeon.report/pgcr/9559657597,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 3, 2021",13:49,4,35,DNF,—,9559409515,https://dungeon.report/pgcr/9559409515,Pre-Flawless
,Shattered Throne,Normal,Hunter,"Nov 3, 2021",16:48,2,351,DNF,—,9559370954,https://dungeon.report/pgcr/9559370954,Pre-Flawless
,Pit of Heresy,Normal,Warlock,"Oct 22, 2021",1:03:09,4,240,DNF,—,9493638738,https://dungeon.report/pgcr/9493638738,Pre-Flawless
,Pit of Heresy,Normal,Warlock,"Oct 22, 2021",1:25,0,0,DNF,—,9493269664,https://dungeon.report/pgcr/9493269664,Pre-Flawless
,Prophecy,Normal,Warlock,"Aug 16, 2021",1:13:53,20,771,DNF,—,8979134067,https://dungeon.report/pgcr/8979134067,Pre-Flawless
,Prophecy,Normal,Warlock,"Aug 15, 2021",1:16:47,13,881,DNF,—,8976854782,https://dungeon.report/pgcr/8976854782,Pre-Flawless
,Prophecy,Normal,Warlock,"Aug 12, 2021",2:55:14,17,1440,DNF,—,8963419278,https://dungeon.report/pgcr/8963419278,Pre-Flawless
,Prophecy,Normal,Warlock,"Aug 9, 2021",3:50:12,32,2029,DNF,—,8949841651,https://dungeon.report/pgcr/8949841651,Pre-Flawless
,Prophecy,Normal,Warlock,"Aug 9, 2021",25:05:00,5,134,DNF,—,8948277126,https://dungeon.report/pgcr/8948277126,Pre-Flawless
,Prophecy,Normal,Warlock,"Aug 8, 2021",1:37:10,22,768,DNF,—,8946075721,https://dungeon.report/pgcr/8946075721,Pre-Flawless
,Prophecy,Normal,Titan,"Aug 8, 2021",54:46:00,18,400,DNF,—,8945854591,https://dungeon.report/pgcr/8945854591,Pre-Flawless
,Prophecy,Normal,Titan,"Jul 30, 2021",5:48,1,28,DNF,—,8908868802,https://dungeon.report/pgcr/8908868802,Pre-Flawless
,Prophecy,Normal,Titan,"Jul 6, 2021",35:04:00,8,248,DNF,—,8783445340,https://dungeon.report/pgcr/8783445340,Pre-Flawless
,Prophecy,Normal,Titan,"Jun 30, 2021",5:36,0,19,DNF,—,8751985754,https://dungeon.report/pgcr/8751985754,Pre-Flawless
,Prophecy,Normal,Titan,"Jun 28, 2021",13:47,0,80,DNF,—,8739953919,https://dungeon.report/pgcr/8739953919,Pre-Flawless
